IdCliente,Nombre,Apellido,Edad,Genero,Documento,Email,Telefono,Ciudad,Pais,FechaRegistro,MarcaPreferida,FrecuenciaVisita,TicketPromedio,PuntosAcumulados,UltimaCompra,MedioPagoFavorito,DeliveryFrecuente,EstadoCliente,Observaciones
1,Rosa,Cruz,49.0,F,99262693,rosa.cruz@gmail.com,937223224,Huaraz,PE,2024-06-26,Starbucks,15.0,34.11,131.0,2025-01-09,Tarjeta,,Activo,
2,Jorge,Sánchez,65.0,,27802886,jorge.sánchez@outlook.com,932201233,Trujillo,Peru,2025-02-17,Pizza Hut,1.0,14.53,83.0,2023-10-03,,,,Cliente VIP
3,Miguel,Rojas,17.0,,64920469,miguel.rojas@outlook.com,986858592,Moquegua,Perú,2024-05-05,Chili's,13.0,41.56,90.0,2024-05-05,,False,Inactivo,Pendiente validación
4,María,Castillo,37.0,F,46898414,maría.castillo@hotmail.com,989881397,Iquitos,Peru,2021-03-09,Chili's,7.0,11.11,200.0,2023-12-03,Billetera,,,
5,Gabriela,Cruz,26.0,F,89636414,gabriela.cruz@yahoo.com,924401241,Trujillo,PE,2023-05-28,Starbucks,9.0,58.69,191.0,2024-07-07,,True,Inactivo,
6,Ana,Flores,42.0,,83910769,ana.flores@gmail.com,977393869,Trujillo,PE,2022-01-20,Starbucks,1.0,41.75,,2025-06-13,Tarjeta,True,Inactivo,Reclamo abierto
7,Daniel,Torres,64.0,M,23217735,daniel.torres@yahoo.com,958504758,Lima,Peru,2023-01-04,Chili's,6.0,7.19,136.0,2024-01-31,Tarjeta,False,Activo,
8,Luis,Pérez,45.0,,68818583,luis.pérez@gmail.com,988757577,,,2023-02-27,Pizza Hut,1.0,71.86,-147.0,2023-07-12,Tarjeta,True,,Pendiente validación
9,Valeria,López,23.0,,24198008,valeria.lópez@hotmail.com,924624186,Tacna,PE,2023-09-05,Pizza Hut,-1.0,40.48,226.0,2024-10-02,Efectivo,,,Cliente VIP
10,Ana,Vargas,59.0,M,29268305,ana.vargas@gmail.com,986151510,Cusco,Peru,2024-02-03,KFC,2.0,27.66,2.0,2025-05-12,Billetera,True,Activo,Cliente VIP
11,Valeria,Rodríguez,79.0,X,57345446,valeria.rodríguez@gmail.com,946113846,Puno,,2021-05-30,,7.0,36.3,85.0,2024-08-01,Billetera,True,Activo,
12,Pedro,Pérez,59.0,F,48836709,pedro.pérez@outlook.com,993950164,Tumbes,PE,2022-04-15,,5.0,34.42,165.0,2024-03-27,Tarjeta,,Activo,Reclamo abierto
13,Sofía,Vargas,35.0,M,63765507,sofía.vargas@yahoo.com,995096789,Arequipa,,2025-05-15,,0.0,9.96,-112.0,2024-08-03,Tarjeta,,,
14,Gabriela,Torres,65.0,M,23478356,gabriela.torres@hotmail.com,916903103,,,2025-01-21,KFC,5.0,46.31,34.0,2025-05-03,,False,Activo,
15,Paola,Flores,68.0,F,15945551,paola.flores@gmail.com,949025136,Cajamarca,Perú,2021-10-10,Pizza Hut,1.0,11.17,11.0,2024-09-19,Tarjeta,,Activo,
16,Lucía,Cruz,89.0,,42383337,lucía.cruz@hotmail.com,993475211,Juliaca,PE,2025-09-17,,12.0,0.0,108.0,2024-04-24,,True,Pendiente,Cliente VIP
17,Paola,Rojas,89.0,M,35990350,paola.rojas@hotmail.com,927814253,,Peru,2021-06-13,,19.0,34.64,95.0,2024-11-06,Efectivo,,Inactivo,Pendiente validación
18,Carlos,Ramírez,30.0,F,75146519,carlos.ramírez@gmail.com,927426888,Puerto Maldonado,,2023-11-27,KFC,2.0,43.63,64.0,2023-03-28,,True,Activo,
19,Miguel,Díaz,74.0,M,87671466,miguel.díaz@yahoo.com,921483441,Iquitos,Peru,2021-06-06,Starbucks,7.0,40.86,37.0,2024-04-17,Billetera,True,,Reclamo abierto
20,Andrea,Cruz,59.0,F,12832902,andrea.cruz@yahoo.com,918909318,Chimbote,Perú,2023-04-08,Chili's,2.0,69.89,50.0,2025-07-12,Billetera,,Pendiente,Pendiente validación
21,Raúl,Ramírez,73.0,X,49147710,raúl.ramírez@yahoo.com,973441512,Iquitos,Perú,2023-01-07,,4.0,36.64,73.0,2024-09-22,Tarjeta,,,
22,Miguel,Fernández,69.0,,85262042,miguel.fernández@gmail.com,982198782,Trujillo,PE,2022-04-19,Starbucks,7.0,39.84,27.0,2023-09-06,Efectivo,True,Inactivo,
23,María,Vargas,83.0,,26519618,maría.vargas@hotmail.com,973089196,Tacna,,2022-10-02,Starbucks,3.0,15.98,71.0,2025-06-21,Billetera,False,,
24,Sofía,Vargas,49.0,X,67827050,sofía.vargas@outlook.com,927710286,Tumbes,Peru,2025-01-08,,1.0,55.46,41.0,2025-02-11,Efectivo,True,Activo,
25,Valeria,Cruz,16.0,X,76588330,valeria.cruz@gmail.com,992920433,Puerto Maldonado,,2021-08-31,Pizza Hut,12.0,45.95,69.0,2023-10-28,Tarjeta,False,Pendiente,Reclamo abierto
26,Jorge,Pérez,81.0,M,90780298,jorge.pérez@yahoo.com,958802019,Huancayo,PE,2024-07-17,Starbucks,5.0,32.39,116.0,2023-06-06,Efectivo,,Activo,
27,Ana,Flores,25.0,M,46317596,ana.flores@hotmail.com,929057873,Puerto Maldonado,Perú,2024-10-22,Starbucks,10.0,78.71,43.0,2024-09-29,Billetera,False,Inactivo,Reclamo abierto
28,Miguel,Díaz,21.0,M,87243575,miguel.díaz@outlook.com,958390433,Huaraz,Perú,2021-08-11,Pizza Hut,13.0,12.93,56.0,2023-05-03,,True,Inactivo,Cliente VIP
